session_index,question,rank_in_log,score,dense_score,sparse_score,sum_score,title
1,Как у нас проходит процедура закупки оборудования от начала до конца?,1,0.7586,0.79,0.0,0.8,Примечания
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,0.7113,0.78,0.0,0.74,6 Порядок обеспечения дистанционных работников необходимым оборудованием и иными средствами
1,Как у нас проходит процедура закупки оборудования от начала до конца?,3,0.2313,0.77,0.0,0.0,Порядок приема и увольнения работников
1,Как у нас проходит процедура закупки оборудования от начала до конца?,4,0.7361,0.77,0.5,0.74,"Порядок приемки, регистрации и архивирования источников информации."
1,Как у нас проходит процедура закупки оборудования от начала до конца?,5,0.7194,0.77,0.0,0.75,2 Оборудование
1,Как у нас проходит процедура закупки оборудования от начала до конца?,6,0.7201,0.77,0.0,0.75,6 Основные этапы подготовки ТП.
1,Как у нас проходит процедура закупки оборудования от начала до конца?,7,0.7383,0.77,0.0,0.78,"7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,8,0.2291,0.76,0.0,0.0,Порядок работы
1,Как у нас проходит процедура закупки оборудования от начала до конца?,9,0.7256,0.76,0.0,0.76,Организация договорной работы
1,Как у нас проходит процедура закупки оборудования от начала до конца?,10,0.7228,0.76,0.0,0.76,Организация договорной работы
1,Как у нас проходит процедура закупки оборудования от начала до конца?,11,0.2291,0.76,0.0,0.0,Организация договорной работы
1,Как у нас проходит процедура закупки оборудования от начала до конца?,12,0.2279,0.76,0.0,0.0,10 Порядок допуска к коммерческой тайне
1,Как у нас проходит процедура закупки оборудования от начала до конца?,13,0.2277,0.76,0.0,0.0,Приложение А. Стадии и этапы выполнения работ
1,Как у нас проходит процедура закупки оборудования от начала до конца?,14,0.2273,0.76,0.0,0.0,8 Стадия оформления работы
1,Как у нас проходит процедура закупки оборудования от начала до конца?,15,0.2268,0.76,0.0,0.0,5 Порядок приема и перевода работника на дистанционную работу
1,Как у нас проходит процедура закупки оборудования от начала до конца?,16,0.226,0.75,0.0,0.0,7 Порядок отнесения сведений к коммерческой тайне
1,Как у нас проходит процедура закупки оборудования от начала до конца?,17,0.2252,0.75,0.0,0.0,6 Порядок накопления отходов
1,Как у нас проходит процедура закупки оборудования от начала до конца?,18,0.2252,0.75,0.0,0.0,6 Порядок накопления отходов
1,Как у нас проходит процедура закупки оборудования от начала до конца?,19,0.2251,0.75,0.0,0.0,5 Порядок проведения нормоконтроля
1,Как у нас проходит процедура закупки оборудования от начала до конца?,20,0.7049,0.75,0.0,0.74,ИНСТРУКЦИЯ По подготовке тендерного предложения «ИН-01-ПТП»
1,Как у нас проходит процедура закупки оборудования от начала до конца?,21,0.2243,0.75,0.0,0.0,4 Порядок предоставления корпоративной мобильной связи
1,Как у нас проходит процедура закупки оборудования от начала до конца?,22,0.7279,0.75,0.0,0.77,"6 Оценка, выбор и переоценка поставщиков."
1,Как у нас проходит процедура закупки оборудования от начала до конца?,23,0.2241,0.75,0.0,0.0,7 Порядок учета отходов
1,Как у нас проходит процедура закупки оборудования от начала до конца?,24,0.7038,0.75,0.0,0.74,ИН-01-ПТП
1,Как у нас проходит процедура закупки оборудования от начала до конца?,25,0.7155,0.75,0.0,0.76,"8 Верификация поставленной продукции, работ (услуг)"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,26,0.2234,0.74,0.0,0.0,11 . Порядок прекращения допуска к коммерческой тайне
1,Как у нас проходит процедура закупки оборудования от начала до конца?,27,0.7001,0.74,0.0,0.73,8 Контроль и приемка камеральных работ
1,Как у нас проходит процедура закупки оборудования от начала до конца?,28,0.706,0.74,0.0,0.74,7 Стадия проектирования
1,Как у нас проходит процедура закупки оборудования от начала до конца?,29,0.7211,0.74,0.0,0.77,7 Стадия проектирования
1,Как у нас проходит процедура закупки оборудования от начала до конца?,30,0.7019,0.74,0.0,0.74,"7 Выполнение работ, оказание услуг"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,31,0.7206,0.74,0.0,0.77,6 Организация договорной работы
1,Как у нас проходит процедура закупки оборудования от начала до конца?,32,0.7095,0.74,0.0,0.75,5 Стадии выполнения работ
1,Как у нас проходит процедура закупки оборудования от начала до конца?,33,0.2211,0.74,0.0,0.0,3 Метрологическое обеспечение
1,Как у нас проходит процедура закупки оборудования от начала до конца?,34,0.7072,0.74,0.0,0.75,4 Персонал
1,Как у нас проходит процедура закупки оборудования от начала до конца?,35,0.221,0.74,0.0,0.0,Приложение Г
1,Как у нас проходит процедура закупки оборудования от начала до конца?,36,0.7255,0.74,0.55,0.73,1 Назначение
1,Как у нас проходит процедура закупки оборудования от начала до конца?,37,0.2206,0.74,0.0,0.0,7 Порядок организации труда дистанционных работников
1,Как у нас проходит процедура закупки оборудования от начала до конца?,38,0.2206,0.74,0.0,0.0,7 Порядок организации труда дистанционных работников
1,Как у нас проходит процедура закупки оборудования от начала до конца?,39,0.2205,0.73,0.0,0.0,8 Управление исходящей документацией
1,Как у нас проходит процедура закупки оборудования от начала до конца?,40,0.7016,0.73,0.0,0.74,7 Приемка материалов по окончании полевых работ
