session_index,question,bitrix_message,question_type,answer_mode,decompose,confidence,rewrite_entity,rewrite_attribute,search_strategy,search_text,search_mode,search_level,search_limit,pass1_hit_count,pass2_section_hit_count,selected_doc_id,selected_doc_title,anchor_number,anchor_main_section_id,top_section_number,context_chars,context_blocks,final_context_chars,sources_count,answer_template,answer_context_chars,raw_response_chars,final_response_chars,time_classify,time_rewrite,time_search_fetch,time_answer,time_total,http_calls_count,question_mismatch
1,Как у нас проходит процедура закупки оборудования от начала до конца?,Как у нас проходит процедура закупки оборудования от начала до конца?,procedure,steps,True,0.92,процедура закупки оборудования,порядок выполнения,B (procedure),процедура закупки оборудования,hybrid,"[0, 1]",8,8,10,b497403b-04e3-423e-bb5a-670c170f5a33,ИН-01-ВП,2,2a9f4ad6-b9e3-4520-bedb-9caab034d05a,2,2293,18,2293,3,procedure,2293,2014,2014,2.72,1.82,0.73,14.7,20.44,4,False
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?","""Можно ли закупить оборудование без процедуры оценки поставщика?",fact,single,False,0.92,,,A (fact),закупить оборудование процедуры оценки поставщика,sparse,[2],10,,5,b497403b-04e3-423e-bb5a-670c170f5a33,ИН-01-ВП,,,,3426,4,3426,3,fact_single,3426,406,406,2.3,1.31,0.26,3.44,7.31,4,False
3,Нужно ли ежегодно проводить переоценку поставщиков?,Нужно ли ежегодно проводить переоценку поставщиков?,fact,single,False,0.92,,,A (fact),переоценка поставщиков ежегодная,sparse,[2],10,,5,b497403b-04e3-423e-bb5a-670c170f5a33,ИН-01-ВП,,,,3730,5,3730,3,fact_single,3730,141,141,1.93,1.19,0.29,2.03,5.44,4,False
4,Надо ли каждый год переоценивать поставщиков?,Надо ли каждый год переоценивать поставщиков?,fact,single,False,0.92,,,A (fact),переоценка поставщиков ежегодная,sparse,[2],10,,5,b497403b-04e3-423e-bb5a-670c170f5a33,ИН-01-ВП,,,,3730,5,3730,3,fact_single,3730,131,131,1.92,1.19,0.29,1.84,5.25,4,False
5,Какие документы нужно получить от поставщика после поставки?,Какие документы нужно получить от поставщика после поставки?,fact,list,True,0.92,,,A (fact),документы после поставки поставщика,sparse,[2],10,,5,b497403b-04e3-423e-bb5a-670c170f5a33,ИН-01-ВП,,,,1837,8,1837,3,list,1837,223,223,2.22,1.69,0.37,2.03,6.3,4,False
6,Перечисли документы которые нужно получить у поставщика,Перечисли документы которые нужно получить у поставщика,,,,,,,A (fact),поставщик документы получить,sparse,[2],10,,5,b497403b-04e3-423e-bb5a-670c170f5a33,ИН-01-ВП,,,,805,4,805,3,fact_single,805,252,252,2.01,1.65,0.28,1.97,5.92,4,False
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?","Что делать, если поставщик привез продукцию ненадлежащего качества?",procedure,steps,True,0.92,поставщик,процедуры в случае ненадлежащего качества,B (procedure),поставщик,hybrid,"[0, 1]",8,8,10,b497403b-04e3-423e-bb5a-670c170f5a33,ИН-01-ВП,6,d6f8124e-b2c8-4c03-bc93-58242546ca14,8,2527,11,2527,3,procedure,2527,784,784,2.25,2.01,0.28,5.82,10.36,4,False
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,fact,single,True,0.92,,,A (fact),ОП компьютеры минимальный объём,sparse,[2],10,,5,b497403b-04e3-423e-bb5a-670c170f5a33,ИН-01-ВП,,,,572,2,572,2,fact_single,572,129,129,2.06,1.73,0.29,1.32,5.4,4,False
9,Есть ли у нас регламент по обращению с отходами?,Есть ли у нас регламент по обращению с отходами?,fact,single,True,0.92,,,A (fact),,,null,,,5,51f0707f-97b3-49db-a477-bbfb7bc32c51,ИН-01-ПОО,,,,1766,1,1766,1,fact_single,1766,172,172,2.17,1.61,0.21,1.96,5.94,4,False
10,В чем разница между накоплением и хранением отходов?,В чем разница между накоплением и хранением отходов?,definition,single,False,0.92,,,A (definition),,,null,,,5,51f0707f-97b3-49db-a477-bbfb7bc32c51,ИН-01-ПОО,,,,6037,1,6037,1,definition,6037,315,315,1.93,1.12,0.21,3.6,6.86,4,False
11,В чем разница между накоплением и хранением отходов?,,definition,single,False,0.92,,,A (definition),,,null,,,5,,ИН-01-ПОО,,,,6037,1,6037,1,definition,6037,315,315,3.09,1.51,0.22,4.5,9.32,4,False
