id,question_type,question,expected_doc,sources_count,timing_total,doc_match,section_match,key_point_coverage,main_score,judge_label,judge_overall,judge_comment,judge_too_harsh,judge_doc_conflict,judge_answer_conflict
1,procedure,Как у нас проходит процедура закупки оборудования от начала до конца?,ИН-01-ВП,3,20.440,1.000,1.000,0.800,0.940,partial,0.750,"ответ полностью соответствует документу, но не охватывает все ключевые пункты",False,False,False
2,fact,"""Можно ли закупить оборудование без процедуры оценки поставщика?",ИН-01-ВП,3,7.310,1.000,0.500,0.250,0.675,partial,0.750,ответ краток и не полностью охватывает исключения,False,False,False
3,fact,Нужно ли ежегодно проводить переоценку поставщиков?,ИН-01-ВП,3,5.440,1.000,0.500,0.333,0.700,partial,0.750,"Ответ краток и частично отвечает на вопрос, но не упоминает о внеплановой переоценке.",False,False,False
4,fact,Надо ли каждый год переоценивать поставщиков?,ИН-01-ВП,3,5.250,1.000,0.500,0.333,0.700,partial,0.750,"ответ краток, но основная информация присутствует",False,False,False
5,fact,Какие документы нужно получить от поставщика после поставки?,ИН-01-ВП,3,6.300,1.000,0.000,0.250,0.575,partial,0.750,"Ответ содержит основные документы, но упустил указание на передачу документов в УФО.",False,False,False
6,fact,Перечисли документы которые нужно получить у поставщика,ИН-01-ВП,3,5.920,1.000,0.000,0.250,0.575,partial,0.750,"Ответ содержит основные документы, но упущены некоторые детали и не все документы указаны.",False,False,False
7,procedure,"Что делать, если поставщик привез продукцию ненадлежащего качества?",ИН-01-ВП,3,10.360,1.000,0.000,0.100,0.530,partial,0.750,"Ответ содержит основные шаги, но не полностью охватывает все ключевые пункты и порядок действий.",False,False,False
8,fact,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,ИН-01-ВП,2,5.400,1.000,0.000,1.000,0.767,partial,0.750,"ответ краток, но точен",False,False,False
9,norm_reference,Есть ли у нас регламент по обращению с отходами?,ИН-01-ПОО,1,5.940,1.000,0.000,0.312,0.527,partial,0.750,"ответ краткий, но точный",False,False,False
10,definition,В чем разница между накоплением и хранением отходов?,ИН-01-ПОО,1,6.860,1.000,1.000,1.000,0.933,partial,0.750,"ответ краткий, но основные моменты указаны",False,False,False
11,fact,Какие есть классы опасности отходов?,ИН-01-ПОО,3,6.520,1.000,1.000,1.000,1.000,partial,0.750,"Ответ корректен, но не полностью соответствует эталону по полноте и точности.",False,False,False
12,fact,Сколько можно хранить отходы у себя на территории?,ИН-01-ПОО,3,6.950,1.000,0.500,0.500,0.750,partial,0.750,"ответ краток, но точен",False,False,False
13,fact,Есть ли ограничения по сроку хранения отходов I класса?,ИН-01-ПОО,3,7.700,1.000,0.500,0.500,0.750,partial,0.750,"ответ частично верный, но не полностью отвечает на вопрос",False,False,False
14,fact,Есть ли ограничения по сроку хранения отходов?,ИН-01-ПОО,3,7.660,1.000,0.500,0.625,0.787,partial,0.750,"Ответ краток и частично отвечает на вопрос, но не полностью охватывает все важные аспекты.",False,False,False
15,definition,Кто такой федеральный оператор в контексте отходов?,ИН-01-ПОО,3,5.150,1.000,0.667,0.062,0.652,partial,0.750,"ответ содержит ключевую информацию, но упустил важные детали",False,False,False
16,fact,Кто отвечает за ведение учета отходов?,ИН-01-ПОО,3,7.220,1.000,0.250,0.333,0.650,partial,0.750,"ответ краткий, но основная информация верна",False,False,False
17,procedure,Что делать после того как нашли новый тендер?,ИН-01-ПТП,3,22.250,1.000,0.000,0.071,0.521,partial,0.750,"Ответ содержит основные шаги, но упущены некоторые важные детали и действия.",False,False,False
18,procedure,Что нужно делать на предпроектной проработке?,ИН-01-СВР,3,14.130,1.000,0.500,0.600,0.780,partial,0.750,"ответ содержит основные пункты, но недостаточно подробен и не полностью охватывает все ключевые аспекты предпроектной проработки",False,False,False
19,fact,Что включается в бюджет командировки?,ПЛ-13-К,3,9.770,1.000,1.000,0.667,0.900,partial,0.750,"ответ содержит основные пункты, но упустил суточные и детали по транспортным расходам",False,False,False
20,fact,Каким видом транспорта можно ездить в командировки?,ПЛ-13-К,1,7.080,1.000,0.000,1.000,0.733,partial,0.750,"ответ короткий, но точный",False,False,False
21,fact,Какого класса билет на самолет можно купить при командировке?,ПЛ-13-К,3,7.140,1.000,0.000,0.250,0.575,partial,0.750,"ответ содержит правильную информацию, но не полностью отвечает на вопрос",False,False,False
22,fact,Какого класса поездка может быть на самолете?,ПЛ-13-К,3,3.950,1.000,0.000,0.250,0.575,partial,0.750,"ответ содержит правильную информацию, но не полностью отвечает на вопрос и не включает все ключевые пункты",False,False,False
23,fact,как планируются транспортные расходы?,ПЛ-13-К,3,10.960,1.000,1.000,0.500,0.850,partial,0.750,"Ответ содержит основные пункты, но упускает некоторые детали из эталона.",False,False,False
24,broad_overview,Какие задачи у отдела геологии?,ПЛ-07,3,6.180,1.000,0.500,0.273,0.682,partial,0.750,"ответ отвечает на вопрос, но не полностью",False,False,False
25,definition,Что такое риск?,ИН-01-УР,3,4.290,1.000,1.000,0.417,0.825,partial,0.750,"Ответ корректен, но упущены некоторые ключевые пункты из эталона.",False,False,False
26,broad_overview,Какие бывают виды рисков,ИН-01-УР,3,20.460,1.000,0.000,0.893,0.768,partial,0.750,"Ответ содержит основные виды рисков, но не полностью охватывает все ключевые пункты из документа.",False,False,False
27,definition,Что такое финансовые риски?,ИН-01-УР,3,10.730,1.000,0.000,0.571,0.671,partial,0.750,"Ответ содержит основные элементы определения финансовых рисков, но упустил несколько ключевых пунктов из эталона.",False,False,False
28,definition,Что такое коммерческая тайна?,ПЛ-01-КТ,2,4.910,1.000,0.500,0.250,0.642,partial,0.750,"ответ короткий, не содержит всех ключевых пунктов",False,False,False
