session_index,question,rank_in_log,score,dense_score,sparse_score,sum_score,title
1,Как у нас проходит процедура закупки оборудования от начала до конца?,1,0.7809,0.78,0.0,0.77,Примечания
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,0.751,0.75,0.0,0.73,"8 Верификация поставленной продукции, работ (услуг)"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,3,0.7339,0.73,0.0,0.72,Приложение Г
1,Как у нас проходит процедура закупки оборудования от начала до конца?,4,0.7312,0.73,0.0,0.69,Приложение Д
1,Как у нас проходит процедура закупки оборудования от начала до конца?,5,0.7606,0.73,0.0,0.76,"7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,6,0.7272,0.73,0.0,0.69,Приложение А
1,Как у нас проходит процедура закупки оборудования от начала до конца?,7,0.7269,0.73,0.0,0.72,1 Назначение
1,Как у нас проходит процедура закупки оборудования от начала до конца?,8,0.7483,0.72,0.0,0.75,"6 Оценка, выбор и переоценка поставщиков."
1,Как у нас проходит процедура закупки оборудования от начала до конца?,9,0.7335,0.71,0.0,0.73,СОГЛАСОВАНО:
1,Как у нас проходит процедура закупки оборудования от начала до конца?,10,0.7192,0.7,0.0,0.72,5 Основные положения
1,Как у нас проходит процедура закупки оборудования от начала до конца?,11,0.7037,0.7,0.0,0.7,3 Нормативные ссылки
1,Как у нас проходит процедура закупки оборудования от начала до конца?,12,0.7207,0.7,0.0,0.72,2 Область применения
1,Как у нас проходит процедура закупки оборудования от начала до конца?,13,0.6907,0.69,0.0,0.69,Приложение Б
1,Как у нас проходит процедура закупки оборудования от начала до конца?,14,0.6825,0.68,0.0,0.68,Приложение В
1,Как у нас проходит процедура закупки оборудования от начала до конца?,15,0.7038,0.67,0.0,0.7,ИНСТРУКЦИЯ Внешние поставки «ИН-01-ВП»
1,Как у нас проходит процедура закупки оборудования от начала до конца?,16,0.673,0.62,0.0,0.67,"4 Термины, обозначения, сокращения"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",1,0.7939,0.79,0.52,0.79,"6.4 Критерии оценки устанавливаются в зависимости от вида оценки (первичная/плановая), типа и назначения внешней поставки. Оценка должна осуществляться как минимум по трём критериям. Количество выбранных критериев зависит от особенностей каждой конкретной поставки. В качестве критериев оценки для поставщиков могут быть выбраны следующие показатели и требования:"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",2,0.7863,0.79,0.55,0.77,7.15
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",3,0.7797,0.78,0.54,0.73,4.1 Термины и определения:
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",4,0.7832,0.76,0.0,0.78,Примечания
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",5,0.7568,0.76,0.0,0.73,Оценка и выбор поставщиков
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",6,0.7754,0.76,0.5,0.78,8.5 Оборудование должно быть обеспечено необходимыми инструкциями по использованию со стороны поставщика.
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",7,0.7466,0.75,0.0,0.0,Список сотрудников ответственных за внешние поставки
