session_index,question,level,number,text_len,score,source
1,Как у нас проходит процедура закупки оборудования от начала до конца?,1,2,278,0.0,ИН-01-ВП → 2 Примечания
1,Как у нас проходит процедура закупки оборудования от начала до конца?,1,7,187,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.1,84,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.1 7.1"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.2,84,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.2 7.2"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.3,87,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.3 7.3"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.4,53,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.4 7.4"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.5,139,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.5 7.5"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.6,218,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.6 7.6"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.7,124,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.7 7.7"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,7.8,39,0.0,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.8 7.8"
