session_index,question,rank,score,level,number,doc_id,title
1,Как у нас проходит процедура закупки оборудования от начала до конца?,1,0.7586,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Примечания
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,0.7383,1,7,b497403b-04e3-423e-bb5a-670c170f5a33,"7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,3,0.7361,1,2,689ad134-88eb-469c-88cd-35e254e680a3,"Порядок приемки, регистрации и архивирования источников информации."
1,Как у нас проходит процедура закупки оборудования от начала до конца?,4,0.7279,1,6,b497403b-04e3-423e-bb5a-670c170f5a33,"6 Оценка, выбор и переоценка поставщиков."
1,Как у нас проходит процедура закупки оборудования от начала до конца?,5,0.7256,1,2,2fffe16b-1ac7-4329-92a2-102d8df22882,Организация договорной работы
1,Как у нас проходит процедура закупки оборудования от начала до конца?,6,0.7255,1,1,b8b54622-18ad-4302-bea0-e53f1fc46da4,1 Назначение
1,Как у нас проходит процедура закупки оборудования от начала до конца?,7,0.7228,1,7,2fffe16b-1ac7-4329-92a2-102d8df22882,Организация договорной работы
1,Как у нас проходит процедура закупки оборудования от начала до конца?,8,0.7211,1,7,7eed2ce9-09a5-4d61-9c55-a83abdadfba1,7 Стадия проектирования
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",1,0.7939,2,6.4,b497403b-04e3-423e-bb5a-670c170f5a33,"6.4 Критерии оценки устанавливаются в зависимости от вида оценки (первичная/плановая), типа и назначения внешней поставки. Оценка должна осуществляться как минимум по трём критериям. Количество выбранных критериев зависит от особенностей каждой конкретной поставки. В качестве критериев оценки для поставщиков могут быть выбраны следующие показатели и требования:"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",2,0.7863,2,7.15,b497403b-04e3-423e-bb5a-670c170f5a33,7.15
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",3,0.7832,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Примечания
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",4,0.7797,2,4.1,b497403b-04e3-423e-bb5a-670c170f5a33,4.1 Термины и определения:
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",5,0.7754,2,8.5,b497403b-04e3-423e-bb5a-670c170f5a33,8.5 Оборудование должно быть обеспечено необходимыми инструкциями по использованию со стороны поставщика.
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",6,0.7572,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,2 Область применения
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",7,0.7568,2,1.1,b497403b-04e3-423e-bb5a-670c170f5a33,Оценка и выбор поставщиков
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",8,0.7466,2,2.1,b497403b-04e3-423e-bb5a-670c170f5a33,Список сотрудников ответственных за внешние поставки
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",9,0.7452,2,4.1,69132fa9-0255-453e-b3a4-2c06c085f8ed,"4.1 Закупки оргтехники, комплектующих и программных продуктов."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",10,0.7407,2,8.7,7eed2ce9-09a5-4d61-9c55-a83abdadfba1,"8.7 По решению ГИПа (ОИ) нулевая редакция может не оформляться в случаях, когда внутренняя экспертиза интегрирована в процесс разработки ПД. Заказчику направляется первая редакция ПД. Таким образом, свидетельством проведения внутренней экспертизы является факт выпуска первой редакции ПД . Качество проведения внутренней экспертизы оценивается по характеру замечаний, выставляемых Заказчиком, или внешней экспертизой."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",11,0.7374,1,2,efddbd28-7b1c-4285-be6e-4d89a9fcb4b3,2 Оборудование
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",12,0.7365,2,1.2,b497403b-04e3-423e-bb5a-670c170f5a33,1.2 Инструкция определяет порядок действий и согласований при внешних поставках:
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",13,0.7357,1,1,efddbd28-7b1c-4285-be6e-4d89a9fcb4b3,1 Общие положения. Контроль качества приемки работ
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",14,0.7355,2,5.1,b497403b-04e3-423e-bb5a-670c170f5a33,"5.1 Институт обеспечивает соответствие приобретенных внешних процессов, продукции и услуг установленным требованиям. Процесс внешних поставок осуществляется в соответствии с данной инструкцией."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",15,0.7341,1,4,efddbd28-7b1c-4285-be6e-4d89a9fcb4b3,4 Персонал
3,Нужно ли ежегодно проводить переоценку поставщиков?,1,0.8603,2,6.2,b497403b-04e3-423e-bb5a-670c170f5a33,6.2 Плановая оценка/переоценка поставщиков
3,Нужно ли ежегодно проводить переоценку поставщиков?,2,0.7816,2,7.15,b497403b-04e3-423e-bb5a-670c170f5a33,7.15
3,Нужно ли ежегодно проводить переоценку поставщиков?,3,0.7698,2,1.1,b497403b-04e3-423e-bb5a-670c170f5a33,Оценка и выбор поставщиков
3,Нужно ли ежегодно проводить переоценку поставщиков?,4,0.7695,2,3.5,82e7835d-d852-4441-819d-51e10c2ec9f2,"3.5 Постоянное изучение и анализ замечаний Заказчиков, органов государственного надзора, проведение корректирующих действий для устранения причин их возникновения, идентификация рисков и/или возможностей."
3,Нужно ли ежегодно проводить переоценку поставщиков?,5,0.7691,2,7.10,fb9210b5-8dd4-4acb-9f67-4528cef13ff1,"7.10 По результатам идентификации и оценки рисков в масштабах всего Института, Реестр рисков ежегодно пересматривается, уточняется и/или дополняется."
3,Нужно ли ежегодно проводить переоценку поставщиков?,6,0.7683,2,3.3,b4e2b5d2-431d-4e10-97b5-69902e997854,"3.3 Постоянное изучение и анализ замечаний Заказчиков, органов государственного надзора, проведение корректирующих действий для устранения причин их возникновения, идентификация рисков и/или возможностей."
3,Нужно ли ежегодно проводить переоценку поставщиков?,7,0.768,2,8.6,b497403b-04e3-423e-bb5a-670c170f5a33,8.6 Результатом проверок может быть:
3,Нужно ли ежегодно проводить переоценку поставщиков?,8,0.7634,2,5.5,b497403b-04e3-423e-bb5a-670c170f5a33,5.5 Сотрудник или сотрудники вышеуказанных подразделений на систематической основе должны осуществлять деятельность по:
3,Нужно ли ежегодно проводить переоценку поставщиков?,9,0.7629,2,9.6,7eed2ce9-09a5-4d61-9c55-a83abdadfba1,"9.6 Замечания внутренней экспертизы, экспертизы Заказчика и внешних экспертиз к ПД должны анализироваться РПП, ГИПом (ОИ). Если в результате анализа выявляются повторяющиеся замечания и/или тенденции к увеличению замечаний, РПП, ГИП (ОИ) обязаны выявлять причины замечаний с документированием последующих действий, а в случае необходимости инициировать корректирующие действия в соответствии с процедурой «Корректирующие действия» (ПР-10.2-КД):"
