session_index,question,source_rank,source
1,Как у нас проходит процедура закупки оборудования от начала до конца?,1,ИН-01-ВП → 2 Примечания
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,3,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.1 7.1"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",1,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",2,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.1 Первичная оценка и выбор поставщиков"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",3,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.3 В случае появления на рынке новых поставщиков, неудовлетворенностью работы с ранее выбранными, проводится внеплановая оценка/переоценка и выбор поставщиков в соответствии с процедурой оценки (п.6.1 данной инструкции)."
3,Нужно ли ежегодно проводить переоценку поставщиков?,1,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков."
3,Нужно ли ежегодно проводить переоценку поставщиков?,2,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.1 Первичная оценка и выбор поставщиков"
3,Нужно ли ежегодно проводить переоценку поставщиков?,3,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.2 Плановая оценка/переоценка поставщиков"
4,Надо ли каждый год переоценивать поставщиков?,1,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков."
4,Надо ли каждый год переоценивать поставщиков?,2,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.1 Первичная оценка и выбор поставщиков"
4,Надо ли каждый год переоценивать поставщиков?,3,"ИН-01-ВП → 6 Оценка, выбор и переоценка поставщиков. → 6.2 Плановая оценка/переоценка поставщиков"
5,Какие документы нужно получить от поставщика после поставки?,1,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
5,Какие документы нужно получить от поставщика после поставки?,2,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.6 7.6"
5,Какие документы нужно получить от поставщика после поставки?,3,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.7 7.7"
6,Перечисли документы которые нужно получить у поставщика,1,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
6,Перечисли документы которые нужно получить у поставщика,2,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.4 7.4"
6,Перечисли документы которые нужно получить у поставщика,3,"ИН-01-ВП → 7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института → 7.6 7.6"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",1,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг)"
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",2,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.1 Ответственное лицо организует входной контроль (верификацию) поставленной продукции, СИ, оборудования и программных продуктов до начала эксплуатации, с привлечением по необходимости специалистов Института."
7,"Что делать, если поставщик привез продукцию ненадлежащего качества?",3,"ИН-01-ВП → 8 Верификация поставленной продукции, работ (услуг) → 8.2 Верификация продукции, как правило, осуществляется визуально."
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,1,ИН-01-ВП → 1 Приложение А
8,Какой минимальный объем оперативной памяти должен быть у покупаемых компьютеров?,2,ИН-01-ВП → 1 Приложение А → 1.3 Требования к компьютерам:
9,Есть ли у нас регламент по обращению с отходами?,1,ИН-01-ПОО → 3 Нормативные ссылки
10,В чем разница между накоплением и хранением отходов?,1,"ИН-01-ПОО → 4 Термины, обозначения, сокращения"
11,В чем разница между накоплением и хранением отходов?,1,"ИН-01-ПОО → 4 Термины, обозначения, сокращения"
12,Какие есть классы опасности отходов?,1,ИН-01-ПОО → 5 Основные положения
12,Какие есть классы опасности отходов?,2,"ИН-01-ПОО → 5 Основные положения → 5.1 Отходы в зависимости от степени негативного воздействия на окружающую среду подразделяются  в  соответствии  с  критериями,  установленными  федеральным органом исполнительной власти, осуществляющим государственное регулирование в области охраны окружающей среды, на пять классов опасности:"
12,Какие есть классы опасности отходов?,3,ИН-01-ПОО → 5 Основные положения → 5.3 Согласно Федеральному закону РФ «Об отходах производства и потребления» все подразделения Института обязаны:
13,Сколько можно хранить отходы у себя на территории?,1,ИН-01-ПОО → 6 Порядок накопления отходов
13,Сколько можно хранить отходы у себя на территории?,2,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.1 В результате деятельности в подразделениях Института образуются отходы, которые подлежат накоплению, дальнейшей передаче на сбор, транспортирование, обработку, утилизацию, обезвреживание, использование и/или размещение (захоронение)"
13,Сколько можно хранить отходы у себя на территории?,3,ИН-01-ПОО → 6 Порядок накопления отходов → 6.2 Накопление отходов на территории подразделений Института допускается на срок не более 11 месяцев
14,Есть ли ограничения по сроку хранения отходов I класса?,1,ИН-01-ПОО → 6 Порядок накопления отходов
14,Есть ли ограничения по сроку хранения отходов I класса?,2,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.1 В результате деятельности в подразделениях Института образуются отходы, которые подлежат накоплению, дальнейшей передаче на сбор, транспортирование, обработку, утилизацию, обезвреживание, использование и/или размещение (захоронение)"
14,Есть ли ограничения по сроку хранения отходов I класса?,3,ИН-01-ПОО → 6 Порядок накопления отходов → 6.2 Накопление отходов на территории подразделений Института допускается на срок не более 11 месяцев
15,Есть ли ограничения по сроку хранения отходов?,1,ИН-01-ПОО → 6 Порядок накопления отходов
15,Есть ли ограничения по сроку хранения отходов?,2,"ИН-01-ПОО → 6 Порядок накопления отходов → 6.1 В результате деятельности в подразделениях Института образуются отходы, которые подлежат накоплению, дальнейшей передаче на сбор, транспортирование, обработку, утилизацию, обезвреживание, использование и/или размещение (захоронение)"
15,Есть ли ограничения по сроку хранения отходов?,3,ИН-01-ПОО → 6 Порядок накопления отходов → 6.2 Накопление отходов на территории подразделений Института допускается на срок не более 11 месяцев
16,Кто такой федеральный оператор в контексте отходов?,1,ИН-01-ПОО → 9 Требования к передаче отходов сторонним специализированным организациям
16,Кто такой федеральный оператор в контексте отходов?,2,ИН-01-ПОО → 9 Требования к передаче отходов сторонним специализированным организациям → 9.1 Отходы II класса опасности передаются только Федеральному оператору по обращению с отходами I и II классов опасности или привлеченному им оператору по обращению с отходами I и II классов опасности на основании заключенного договора
16,Кто такой федеральный оператор в контексте отходов?,3,"ИН-01-ПОО → 9 Требования к передаче отходов сторонним специализированным организациям → 9.4 Отходы, относящиеся к ТКО, передаются региональному оператору по обращению с твердыми коммунальными отходами на основании заключенного договора"
17,Кто отвечает за ведение учета отходов?,1,ИН-01-ПОО → 7 Порядок учета отходов
17,Кто отвечает за ведение учета отходов?,2,ИН-01-ПОО → 7 Порядок учета отходов → 7.1 Обращение с отходами контролируется ОВЭО и заместителем генерального директора по общим вопросам.
17,Кто отвечает за ведение учета отходов?,3,"ИН-01-ПОО → 7 Порядок учета отходов → 7.2 На каждый вид отхода необходимо иметь «Паспорт опасного отхода», составленный в соответствии с приказом Минприроды России от 08 декабря 2020 г. № 1026."
18,Что делать после того как нашли новый тендер?,1,ИН-01-ПТП → 6 Основные этапы подготовки ТП.
18,Что делать после того как нашли новый тендер?,2,ИН-01-ПТП → 6 Основные этапы подготовки ТП. → 6.1 Сбор и анализ информации о проводимых тендерах.
18,Что делать после того как нашли новый тендер?,3,ИН-01-ПТП → 6 Основные этапы подготовки ТП. → 6.2 Формирование ТП.
19,Что нужно делать на предпроектной проработке?,1,ИН-01-СВР → 6 Предпроектная проработка
19,Что нужно делать на предпроектной проработке?,2,"ИН-01-СВР → 6 Предпроектная проработка → 6.1 Предпроектная проработка, как правило, инициируется заявкой Заказчика официальным письмом на имя генерального директора Института, с указанием интересующих работ и услуг, либо поступлением информации о выигранном тендере."
19,Что нужно делать на предпроектной проработке?,3,"ИН-01-СВР → 6 Предпроектная проработка → 6.2 На этой стадии должны быть определены, проанализированы и зафиксированы документально требования Заказчика к ПД. По результатам анализа оформляется и согласовывается с Заказчиком ЗП/ТЗ/ГЗ и Календарный план выполнения работ, где он применим."
20,Что включается в бюджет командировки?,1,ПЛ-13-К → 5 Бюджет командировки
20,Что включается в бюджет командировки?,2,ПЛ-13-К → 5 Бюджет командировки → 5.1 В бюджет командировки включается:
20,Что включается в бюджет командировки?,3,"ПЛ-13-К → 5 Бюджет командировки → 5.2 Транспортные расходы планируются, исходя из следующего:"
21,Каким видом транспорта можно ездить в командировки?,1,ПЛ-13-К → 7 Организация работы командированного сотрудника
22,Какого класса билет на самолет можно купить при командировке?,1,ПЛ-13-К → 5 Бюджет командировки
22,Какого класса билет на самолет можно купить при командировке?,2,"ПЛ-13-К → 5 Бюджет командировки → 5.2 Транспортные расходы планируются, исходя из следующего:"
22,Какого класса билет на самолет можно купить при командировке?,3,ПЛ-13-К → 6 Организация командировки
23,Какого класса поездка может быть на самолете?,1,ПЛ-13-К → 5 Бюджет командировки
23,Какого класса поездка может быть на самолете?,2,"ПЛ-13-К → 5 Бюджет командировки → 5.2 Транспортные расходы планируются, исходя из следующего:"
23,Какого класса поездка может быть на самолете?,3,ПЛ-13-К → 3 Термины и определения
24,как планируются транспортные расходы?,1,ПЛ-13-К → 5 Бюджет командировки
24,как планируются транспортные расходы?,2,ПЛ-13-К → 5 Бюджет командировки → 5.1 В бюджет командировки включается:
24,как планируются транспортные расходы?,3,"ПЛ-13-К → 5 Бюджет командировки → 5.2 Транспортные расходы планируются, исходя из следующего:"
25,Какие задачи у отдела геологии?,1,ПЛ-07 → 2 ПОЛОЖЕНИЕ Об отделе геологии «ПЛ-07»
25,Какие задачи у отдела геологии?,2,ПЛ-07 → 3 Задачи
25,Какие задачи у отдела геологии?,3,"ПЛ-07 → 3 Задачи → 3.1 Создание  проектных  документов  и  составление  отчётов,  соответствующих нормативным и регламентирующим государственным документам, отражающим потребности Заказчиков."
26,Что такое риск?,1,"ИН-01-УР → 4 Термины, обозначения, сокращения"
26,Что такое риск?,2,"ИН-01-УР → 4 Термины, обозначения, сокращения → 4.1 Термины и определения:"
26,Что такое риск?,3,"ИН-01-УР → 4 Термины, обозначения, сокращения → 4.2 Применяемые сокращения:"
27,Какие бывают виды рисков,1,"ИН-01-УР → 4 Термины, обозначения, сокращения"
27,Какие бывают виды рисков,2,"ИН-01-УР → 4 Термины, обозначения, сокращения → 4.1 Термины и определения:"
27,Какие бывают виды рисков,3,"ИН-01-УР → 4 Термины, обозначения, сокращения → 4.2 Применяемые сокращения:"
28,Что такое финансовые риски?,1,ИН-01-УР → 7 Реестр рисков
28,Что такое финансовые риски?,2,ИН-01-УР → 7 Реестр рисков → 7.1 Структура и состав реестра риска представлен в приложении Б данной инструкции
28,Что такое финансовые риски?,3,"ИН-01-УР → 7 Реестр рисков → 7.2 Каждому риску, включенному в Реестр, присваивается индивидуальный код (идентификатор риска )"
29,Что такое коммерческая тайна?,1,ПЛ-01-КТ → 6 Понятие коммерческой тайны
29,Что такое коммерческая тайна?,2,"ПЛ-01-КТ → 6 Понятие коммерческой тайны → 6.1 Коммерческая тайна - режим конфиденциальности информации, позволяющий ее обладателю при существующих или возможных обстоятельствах увеличить доходы, избежать неоправданных расходов, сохранить положение на рынке товаров, работ, услуг или получить иную коммерческую выгоду."
30,Какие сведения относятся к коммерческой тайне?,1,"ПЛ-01-КТ → 8 Сведения, составляющие коммерческую тайну"
30,Какие сведения относятся к коммерческой тайне?,2,"ПЛ-01-КТ → 8 Сведения, составляющие коммерческую тайну → 8.1 Сведения, составляющие коммерческую тайну Института, определены Приложением А к настоящему Положению, являющимся его неотъемлемой частью."
30,Какие сведения относятся к коммерческой тайне?,3,"ПЛ-01-КТ → 8 Сведения, составляющие коммерческую тайну → 8.2 Перечень сведений конфиденциального характера, утв. Указом Президента Российской Федерации от 06.03.1997 г. № 188, определен Приложением Б к настоящему Положению, являющимся его неотъемлемой частью."
31,Что будет если превысить лимиты корпоративной мобильной связи?,1,ПЛ-13-КМС → 6 Нормы и порядок возмещения перерасхода лимита корпоративной мобильной связи
31,Что будет если превысить лимиты корпоративной мобильной связи?,2,"ПЛ-13-КМС → 6 Нормы и порядок возмещения перерасхода лимита корпоративной мобильной связи → 6.1 В качестве документального подтверждения расходов на корпоративную мобильную связь ответственное лицо организует получение от оператора, предоставляющего мобильную связь, детализации звонков по всем корпоративным номерам, используемым в Институте."
31,Что будет если превысить лимиты корпоративной мобильной связи?,3,ПЛ-13-КМС → 6 Нормы и порядок возмещения перерасхода лимита корпоративной мобильной связи → 6.2 В случае превышения расходов на связь сверх установленного лимита удержание может не производится на основании согласованной с генеральным директором объяснительной записки. Данное исключение носит разовый характер и не влияет на изменение лимита в дальнейшем.
32,Что будет если превысить лимиты корпоративной мобильной связи?,1,ПЛ-13-КМС → 4 Порядок предоставления корпоративной мобильной связи
32,Что будет если превысить лимиты корпоративной мобильной связи?,2,"ПЛ-13-КМС → 4 Порядок предоставления корпоративной мобильной связи → 4.1 В целях повышения оперативности и эффективности принятия управленческих решений, связанных с производственно-хозяйственной деятельностью, Институт за свой счет обеспечивает установленным категориям сотрудников возможность использования корпоративной мобильной связи."
32,Что будет если превысить лимиты корпоративной мобильной связи?,3,ПЛ-13-КМС → 4 Порядок предоставления корпоративной мобильной связи → 4.2 Работники обеспечиваются корпоративной мобильной связью только на период работы в Институте путем выдачи работнику корпоративной SIM-карты.
33,Что входит в персональные данные сотрудников?,1,ПЛ-20-ЗПДР → 2 Понятие и состав персональных данных
33,Что входит в персональные данные сотрудников?,2,"ПЛ-20-ЗПДР → 2 Понятие и состав персональных данных → 2.1 Персональные данные работника - информация, необходимая работодателю в связи с трудовыми отношениями и касающиеся конкретного работника. Под информацией о работниках понимаются сведения о фактах, событиях и обстоятельствах жизни работника, позволяющие идентифицировать его личность."
33,Что входит в персональные данные сотрудников?,3,ПЛ-20-ЗПДР → 2 Понятие и состав персональных данных → 2.2 В состав персональных данных работника входят:
34,Какие данные являются персональными?,1,ПЛ-20-ЗПДР → 2 Понятие и состав персональных данных
34,Какие данные являются персональными?,2,"ПЛ-20-ЗПДР → 2 Понятие и состав персональных данных → 2.1 Персональные данные работника - информация, необходимая работодателю в связи с трудовыми отношениями и касающиеся конкретного работника. Под информацией о работниках понимаются сведения о фактах, событиях и обстоятельствах жизни работника, позволяющие идентифицировать его личность."
34,Какие данные являются персональными?,3,ПЛ-20-ЗПДР → 2 Понятие и состав персональных данных → 2.2 В состав персональных данных работника входят:
35,Какие задачи у финансового отдела?,1,ПЛ-13 → 2 ПОЛОЖЕНИЕ Об учетно-финансовом отделе «ПЛ-13»
35,Какие задачи у финансового отдела?,2,ПЛ-13 → 3 Задачи
